IMG_NM,PHY_ID,found_filename,filename,label_idx
PR234C6DHK03_P005,DHA26045,PR234C6DHK03_P005.jpg,PR234C6DHK03_P005.jpg,17
PR234C6DHK03_P006,DHA32571,PR234C6DHK03_P006.jpg,PR234C6DHK03_P006.jpg,21
PR234C6DHK03_P011,DHA32571,PR234C6DHK03_P011.jpg,PR234C6DHK03_P011.jpg,21
PR234C6DHK03_P012,DHA32571,PR234C6DHK03_P012.jpg,PR234C6DHK03_P012.jpg,21
PR234C6DHK04_P002,DHK45868,PR234C6DHK04_P002.jpg,PR234C6DHK04_P002.jpg,43
PR234C6DHK04_P004,DHA17568,PR234C6DHK04_P004.jpg,PR234C6DHK04_P004.jpg,13
PR234C6DHK04_P005,DHK79425,PR234C6DHK04_P005.jpg,PR234C6DHK04_P005.jpg,53
PR234C6DHK04_P018,DHA03754,PR234C6DHK04_P018.jpg,PR234C6DHK04_P018.jpg,5
PR234C6DHK04_P024,DHK82109,PR234C6DHK04_P024.jpg,PR234C6DHK04_P024.jpg,54
PR234C6DHK04_P027,DHK46855,PR234C6DHK04_P027.jpg,PR234C6DHK04_P027.jpg,44
PR234C6DHK04_P033,DHA13290,PR234C6DHK04_P033.jpg,PR234C6DHK04_P033.jpg,8
PR234C6DHK04_P035,DHK00816,PR234C6DHK04_P035.jpg,PR234C6DHK04_P035.jpg,39
PR234C6DHK04_P036,DHK00816,PR234C6DHK04_P036.jpg,PR234C6DHK04_P036.jpg,39
PR234C6DHK04_P042,DHK00816,PR234C6DHK04_P042.jpg,PR234C6DHK04_P042.jpg,39
PR234C6DHK04_P043,DHK00816,PR234C6DHK04_P043.jpg,PR234C6DHK04_P043.jpg,39
PR234C6DHK04_P044,DHA09360,PR234C6DHK04_P044.jpg,PR234C6DHK04_P044.jpg,7
PR234C6DHK04_P046,DHA02010,PR234C6DHK04_P046.jpg,PR234C6DHK04_P046.jpg,2
PR234C6DHK04_P050,DHK84016,PR234C6DHK04_P050.jpg,PR234C6DHK04_P050.jpg,56
PR234C6DHK04_P054,DHA44225,PR234C6DHK04_P054.jpg,PR234C6DHK04_P054.jpg,30
PR234C6DHK04_P055,DHA29984,PR234C6DHK04_P055.jpg,PR234C6DHK04_P055.jpg,20
PR234C6DHK04_P059,DHK00591,PR234C6DHK04_P059.jpg,PR234C6DHK04_P059.jpg,38
PR234C6DHK17_P032,DHA37892,PR234C6DHK17_P032.jpg,PR234C6DHK17_P032.jpg,26
PR234C6DHK17_P035,DHA26331,PR234C6DHK17_P035.jpg,PR234C6DHK17_P035.jpg,18
PR234C6DHK17_P043,DHK03416,PR234C6DHK17_P043.jpg,PR234C6DHK17_P043.jpg,42
PR234C6DHK17_P046,DHA24740,PR234C6DHK17_P046.jpg,PR234C6DHK17_P046.jpg,16
PR234C6DHK17_P051,DHA01481,PR234C6DHK17_P051.jpg,PR234C6DHK17_P051.jpg,0
PR234C6DHK25_P005,DHA08550,PR234C6DHK25_P005.jpg,PR234C6DHK25_P005.jpg,6
PR234C6DHK25_P011,DHK98952,PR234C6DHK25_P011.jpg,PR234C6DHK25_P011.jpg,66
PR234C6DHK25_P012,DHA16338,PR234C6DHK25_P012.jpg,PR234C6DHK25_P012.jpg,11
PR234C6DHK25_P023,DHA15739,PR234C6DHK25_P023.jpg,PR234C6DHK25_P023.jpg,10
PR234C6DHK25_P025,DHA02135,PR234C6DHK25_P025.jpg,PR234C6DHK25_P025.jpg,3
PR234C6DHK25_P033,DHA46176,PR234C6DHK25_P033.jpg,PR234C6DHK25_P033.jpg,36
PR234C6DHK25_P038,DHK97752,PR234C6DHK25_P038.jpg,PR234C6DHK25_P038.jpg,63
PR234C6DHK25_P046,DHK91624,PR234C6DHK25_P046.jpg,PR234C6DHK25_P046.jpg,61
PR234C6DHK36_P018,DHA34392,PR234C6DHK36_P018.jpg,PR234C6DHK36_P018.jpg,23
PR234C6DHK36_P020,DHK87527,PR234C6DHK36_P020.jpg,PR234C6DHK36_P020.jpg,58
PR234C6DHK36_P031,DHA17115,PR234C6DHK36_P031.jpg,PR234C6DHK36_P031.jpg,12
PR234C6DHK36_P036,DHK87634,PR234C6DHK36_P036.jpg,PR234C6DHK36_P036.jpg,59
PR234C6DHK36_P037,DHK87634,PR234C6DHK36_P037.jpg,PR234C6DHK36_P037.jpg,59
PR234C6DHK36_P039,DHK87524,PR234C6DHK36_P039.jpg,PR234C6DHK36_P039.jpg,57
PR234C6DHK36_P040,DHK87524,PR234C6DHK36_P040.jpg,PR234C6DHK36_P040.jpg,57
PR234C6DHK36_P041,DHK87524,PR234C6DHK36_P041.jpg,PR234C6DHK36_P041.jpg,57
PR234C6DHK36_P045,DHK87664,PR234C6DHK36_P045.jpg,PR234C6DHK36_P045.jpg,60
PR234C6DHK36_P047,DHK87664,PR234C6DHK36_P047.jpg,PR234C6DHK36_P047.jpg,60
PR234C6DHK36_P048,DHK62507,PR234C6DHK36_P048.jpg,PR234C6DHK36_P048.jpg,49
PR234C6DHK36_P057,DHK74287,PR234C6DHK36_P057.jpg,PR234C6DHK36_P057.jpg,51
PR234C6DHK36_P062,DHA24168,PR234C6DHK36_P062.jpg,PR234C6DHK36_P062.jpg,15
PR234C6DHK36_P070,DHA46015,PR234C6DHK36_P070.jpg,PR234C6DHK36_P070.jpg,35
PR234C6DHK36_P072,DHK87524,PR234C6DHK36_P072.jpg,PR234C6DHK36_P072.jpg,57
PR234C6DHK42_P001,DHA01511,PR234C6DHK42_P001.jpg,PR234C6DHK42_P001.jpg,1
PR234C6DHK42_P003,DHA42325,PR234C6DHK42_P003.jpg,PR234C6DHK42_P003.jpg,29
PR234C6DHK42_P004,DHA41993,PR234C6DHK42_P004.jpg,PR234C6DHK42_P004.jpg,28
PR234C6DHK42_P008,DHK66653,PR234C6DHK42_P008.jpg,PR234C6DHK42_P008.jpg,50
PR234C6DHK42_P011,DHA36192,PR234C6DHK42_P011.jpg,PR234C6DHK42_P011.jpg,24
PR234C6DHK42_P013,DHA44835,PR234C6DHK42_P013.jpg,PR234C6DHK42_P013.jpg,31
PR234C6DHK42_P018,DHK60695,PR234C6DHK42_P018.jpg,PR234C6DHK42_P018.jpg,48
PR234C6DHK42_P019,DHK78251,PR234C6DHK42_P019.jpg,PR234C6DHK42_P019.jpg,52
PR234C6DHK42_P020,DHA45145,PR234C6DHK42_P020.jpg,PR234C6DHK42_P020.jpg,32
PR234C6DHK42_P022,DHA36903,PR234C6DHK42_P022.jpg,PR234C6DHK42_P022.jpg,25
PR234C6DHK42_P023,DHK02986,PR234C6DHK42_P023.jpg,PR234C6DHK42_P023.jpg,41
PR234C6DHK42_P024,DHK59333,PR234C6DHK42_P024.jpg,PR234C6DHK42_P024.jpg,47
PR234C6DHK42_P025,DHK59333,PR234C6DHK42_P025.jpg,PR234C6DHK42_P025.jpg,47
PR234C6DHK42_P027,DHK59333,PR234C6DHK42_P027.jpg,PR234C6DHK42_P027.jpg,47
PR234C6DHK42_P028,DHA32786,PR234C6DHK42_P028.jpg,PR234C6DHK42_P028.jpg,22
PR234C6DHK42_P030,DHA45518,PR234C6DHK42_P030.jpg,PR234C6DHK42_P030.jpg,33
PR234C6DHK42_P031,DHK49412,PR234C6DHK42_P031.jpg,PR234C6DHK42_P031.jpg,45
PR234C6DHK42_P032,DHK49811,PR234C6DHK42_P032.jpg,PR234C6DHK42_P032.jpg,46
PR234C6DHK42_P040,DHK49412,PR234C6DHK42_P040.jpg,PR234C6DHK42_P040.jpg,45
PR234C6DHK42_P041,DHK98520,PR234C6DHK42_P041.jpg,PR234C6DHK42_P041.jpg,64
PR234C6DHK42_P042,DHA21545,PR234C6DHK42_P042.jpg,PR234C6DHK42_P042.jpg,14
PR234C6DHK42_P043,DHK91626,PR234C6DHK42_P043.jpg,PR234C6DHK42_P043.jpg,62
PR234C6DHK42_P045,DHA02528,PR234C6DHK42_P045.jpg,PR234C6DHK42_P045.jpg,4
PR234C6DHK42_P048,DHA26731,PR234C6DHK42_P048.jpg,PR234C6DHK42_P048.jpg,19
PR234C6DHK42_P049,DHA45850,PR234C6DHK42_P049.jpg,PR234C6DHK42_P049.jpg,34
